TIME_S,ACC_VERTICAL_MS2
1158.24618,-9.46377539186125
1158.253992,-9.269494775985976
1158.261804,-9.007452870916651
1158.269616,-8.73723791601471
1158.277428,-8.745820502473194
1158.28524,-8.59504635249781
1158.293052,-8.529540078309152
1158.300864,-8.450793045729448
1158.308676,-8.424299150995274
1158.316488,-8.508705227899593
1158.3243,-8.654125258419985
1158.332112,-8.860567333114508
1158.339924,-9.119130340554683
1158.347736,-9.389944199455023
1158.355548,-9.657315170954144
1158.36336,-9.851464976244094
1158.371172,-9.954565167366024
1158.378984,-9.9246187210083
1158.386796,-9.944629072670013
1158.394608,-10.014486967693276
1158.40242,-9.88018267624329
1158.410232,-9.633839532038644
1158.418044,-9.357499461020193
1158.425856,-9.022373578296405
1158.433668,-8.816009273909936
1158.44148,-8.577396832735518
1158.449292,-8.429796463272478
1158.457104,-8.323273938799662
1158.464916,-8.201159379461824
1158.472728,-8.219953351062319
1158.48054,-8.391929712152718
1158.488352,-8.643752212211934
1158.496164,-8.981108782676312
1158.503976,-9.302943999058822
1158.511788,-9.660156747409957
1158.5196,-10.102915113345112
1158.527412,-10.608905182622212
1158.535224,-11.08724200183903
1158.543036,-11.544574928723172
1158.550848,-11.784691738478205
1158.55866,-11.591049127062277
1158.566472,-11.028284695516792
1158.574284,-10.539881697936481
1158.582096,-10.157051768511034
1158.589908,-9.749852760155772
1158.59772,-9.346864498303944
1158.605532,-9.06931923477087
1158.613344,-8.881599487781159
1158.621156,-8.819116403772375
1158.628968,-8.954148728981146
1158.63678,-9.20218620866808
1158.644592,-9.163616506082674
1158.652404,-9.046651797970929
1158.660216,-9.170384706462771
1158.668028,-9.53533190186672
1158.67584,-9.924044248543343
1158.683652,-10.172836408955755
1158.691464,-10.303048133850098
1158.699276,-10.274567330365784
1158.707088,-10.133399192920404
1158.7149,-10.050475830306656
1158.722712,-9.860801904405657
1158.730524,-9.645467201014146
1158.738336,-9.454528350004935
1158.746148,-9.28145685283819
1158.75396,-9.087420529597825
1158.761772,-8.81489838616273
1158.769584,-8.43609677454624
1158.777396,-8.18286098093481
1158.785208,-8.10007947102086
1158.79302,-8.43922298327861
1158.800832,-8.589213687174606
1158.808644,-8.72085177172042
1158.816456,-8.90051434132532
1158.824268,-8.82859984777307
1158.83208,-8.734822858544085
1158.839892,-8.749690930913234
1158.847704,-8.675116233317839
1158.855516,-8.642009024215419
1158.863328,-8.57528806379741
1158.87114,-8.536494002364197
1158.878952,-8.507211999125415
1158.886764,-8.594288120255126
1158.894576,-8.771426156680075
1158.902388,-8.777679059057437
1158.9102,-8.712792717772796
1158.918012,-8.932275033766222
1158.925824,-8.985436593332597
1158.933636,-9.004535075156918
1158.941448,-8.78343155379792
1158.94926,-8.62553750994019
1158.957072,-8.538690287005226
1158.964884,-8.465306060837893
1158.972696,-8.270898349821522
1158.980508,-8.298874460485003
1158.98832,-8.290986179252691
1158.996132,-8.309665008465826
1159.003944,-8.352020394051314
1159.011756,-8.368539541765225
1159.019568,-8.403002903880184
1159.02738,-8.438192383790101
1159.035192,-8.493479758600216
1159.043004,-8.429563369619132
1159.050816,-8.45327570580893
1159.058628,-8.405904293853911
1159.06644,-8.344812485467727
1159.074252,-8.452517690624388
1159.082064,-8.567374003127277
1159.089876,-8.766968944044645
1159.097688,-8.965213560682702
1159.1055,-9.058566529207951
1159.113312,-9.118929862976074
1159.121124,-9.168276717097589
1159.128936,-9.470493125378452
1159.136748,-9.91188619128265
1159.14456,-10.588021008901837
1159.152372,-11.470645743255167
1159.160184,-12.015723623204716
1159.167996,-11.911238046285744
1159.175808,-11.540742908933321
1159.18362,-11.081708671279802
1159.191432,-10.375352641765437
1159.199244,-10.083314895629883
1159.207056,-10.111077587043717
1159.214868,-10.248410083914315
1159.22268,-10.29356426064686
1159.230492,-10.393943661262906
1159.238304,-10.534989356994629
1159.246116,-10.488097357371498
1159.253928,-10.189703665606025
1159.26174,-9.737504347739192
1159.269552,-9.263138145975065
1159.277364,-8.955301103893413
1159.285176,-8.632207513771116
1159.292988,-8.564792365861827
1159.3008,-8.44589155414931
1159.308612,-8.319667122758357
1159.316424,-8.724174480225845
1159.324236,-9.482522182200912
1159.332048,-9.85030919361493
1159.33986,-9.820549782031753
1159.347672,-10.292411521258343
1159.355484,-10.541808623994124
1159.363296,-10.87094943355266
1159.371108,-10.871545558700914
1159.37892,-10.686866425260316
1159.386732,-10.437810969609085
1159.394544,-10.179158284245425
1159.402356,-9.869018150486827
1159.410168,-9.597923473986532
1159.41798,-9.390165378299056
1159.425792,-9.27064301359217
1159.433604,-9.102323372161674
1159.441416,-8.892367961570578
1159.449228,-8.689546246682443
1159.45704,-8.550442840261738
1159.464852,-8.401407709502587
1159.472664,-8.27948986362529
1159.480476,-8.118244838092082
1159.488288,-8.044341008366871
1159.4961,-8.154371735564634
1159.503912,-8.208189751322628
1159.511724,-8.263868245588895
1159.519536,-8.45180582966616
1159.527348,-8.676144395555768
1159.53516,-8.945069019489003
1159.542972,-9.10153460929898
1159.550784,-9.179966926574707
1159.558596,-9.16796578350155
1159.566408,-9.135731500780894
1159.57422,-9.173179008261217
1159.582032,-9.043286228838985
1159.589844,-9.0047134596204
1159.597656,-8.839053663358513
1159.605468,-8.650027003862572
1159.61328,-8.636371819593329
1159.621092,-8.40945668472001
1159.628904,-8.165076191715528
1159.636716,-8.063075113949543
1159.644528,-8.329466273899682
1159.65234,-8.529807380854038
1159.660152,-8.703109966997664
1159.667964,-8.836039235475594
1159.675776,-8.774733587948809
1159.683588,-8.824601011668065
1159.6914,-9.12975490367907
1159.699212,-9.35381054475377
1159.707024,-9.274962518365621
1159.714836,-9.280864534412233
1159.722648,-9.105196202989884
1159.73046,-8.92419626233032
1159.738272,-8.697301446613462
1159.746084,-8.307167640296361
1159.753896,-8.960766858707863
1159.761708,-9.260659140803176
1159.76952,-9.25766129434513
1159.777332,-9.33359108737842
1159.785144,-9.413010641654067
1159.792956,-9.681181492153057
1159.800768,-10.017520827031328
1159.80858,-10.501320302761096
1159.816392,-11.313084124786329
1159.824204,-12.209372163002026
1159.832016,-12.591625260977237
1159.839828,-12.409265090371962
1159.84764,-12.083451190018001
1159.855452,-11.59924611323714
1159.863264,-11.223520462390603
1159.871076,-10.732754570364769
1159.878888,-9.993364753391134
1159.8867,-9.609970112550094
1159.894512,-9.563507718709127
1159.902324,-9.500882175355708
1159.910136,-9.337077683184438
1159.917948,-9.181567665313029
1159.92576,-9.034253157036428
1159.933572,-9.337759891525149
1159.941384,-9.781637053981534
1159.949196,-9.96318369738318
1159.957008,-10.03643191742537
1159.96482,-10.074311821702775
1159.972632,-9.959720770131455
1159.980444,-9.834879268210665
1159.988256,-9.747078024387665
1159.996068,-9.618875992340854
1160.00388,-9.34840987745579
1160.011692,-9.014106117269044
1160.019504,-8.693021136515426
1160.027316,-8.516979505145361
1160.035128,-8.382245875393487
